機体,機体名,ND,SD,BD,AI種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Zako203a,アーチャン,4,12,8,未定,,3,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,0,1000,100,-999,-999,-999,-999,-999,-999,-999,50,-999,-999,-999,-999,50,-999,-999,-999,-999,-999,-999,65599,255,0,1984,0,0,6
Zako203a,アーチャン,4,12,8,未定,,3,0,0,0,0,1,0,1,-999,-999,15,0,1,1,8,0,10000,0,100,100,500,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,-999,150,-999,-999,30,-999,8255,255,1,1984,0,0,0
Zako203a,アーチャン,4,12,8,未定,,4,0,0,0,0,1,0,1,-999,-999,15,0,1,1,8,0,10000,0,100,500,-999,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,300,-999,150,-999,-999,30,-999,8255,255,1,1984,0,0,0
Zako203a,アーチャン,4,12,8,未定,ガードスパイク,4,0,0,0,0,1,0,1,-999,-999,15,0,2,2,8,0,100,4000,100,0,300,-30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,63,1,133056,0,0,15
Zako203a,アーチャン,4,12,8,未定,ガードスパイク,4,0,0,0,0,1,0,1,-999,-999,15,0,2,2,8,0,0,4000,100,0,600,-30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,63,1,133056,0,0,15
Zako203a,アーチャン,4,12,8,未定,スパイクハンマー,4,0,0,0,0,1,0,1,-999,-999,15,0,2,2,8,0,100,0,100,0,200,-999,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,1,133056,0,0,0
Zako203a,アーチャン,4,12,8,未定,スパイクハンマー,4,0,0,0,0,1,0,1,-999,-999,15,0,2,2,8,0,50,0,100,0,1000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,2,133056,0,0,0
Zako203a,アーチャン,4,12,8,未定,リフトクロー,4,0,0,0,0,1,0,1,-999,-999,15,0,2,2,8,0,200,5,100,50,300,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,50,-999,-999,-999,-999,-999,-999,8255,255,1,133056,0,0,0
Zako203a,アーチャン,4,12,8,未定,鷹落とし,4,0,0,0,0,1,0,1,-999,-999,15,0,2,2,8,0,3000,0,100,0,50,-999,200,-999,-999,-999,-999,-999,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,4351,0,133056,0,0,0
Zako203a,アーチャン,4,12,8,未定,鷹落とし,4,0,0,0,0,1,0,1,-999,-999,15,0,2,2,8,0,3000,0,100,50,200,-999,-999,-999,-999,-999,-999,-999,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,4351,0,133056,0,0,0
Zako203a,アーチャン,4,12,8,未定,対空スプレッドボム,4,0,0,0,0,1,0,1,-999,-999,15,0,2,2,8,0,500,6,100,200,1000,100,-999,-999,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8239,4351,4,395200,0,0,0
Zako203a,アーチャン,4,12,8,未定,弾道ミサイル,4,0,0,0,0,1,0,1,-999,-999,15,0,2,2,8,0,50,7,100,600,-999,-999,-999,-999,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8239,255,0,133056,0,0,0
Zako203a,アーチャン,4,12,8,未定,弾道ミサイル,4,0,0,0,0,1,0,1,-999,-999,15,0,2,2,8,0,300,0,100,0,300,100,-999,-999,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,4351,0,133056,0,0,0
Zako203a,アーチャン,4,12,8,未定,弾道ミサイル,2,0,0,0,0,0,0,1,-999,-999,15,100,1,1,8,0,1000,0,100,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,300,-999,-999,-999,-999,-999,-999,63,0,2,1984,0,1,0
